Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2024-04-15,171.0996856689453,176.9807908314325,170.75041091998077,175.177765091077,3528100
2024-04-16,173.4596710205078,175.30991384927185,172.61951319010308,175.1966242692123,4473700
2024-04-17,172.84608459472656,174.32815435064396,171.59999999602599,173.84672043074787,3003000
2024-04-18,171.30735778808594,173.18591942761063,170.0801572237225,172.13808082936634,2886700
2024-04-19,171.4112091064453,172.5628881583413,170.45777603087626,172.2135990004577,3038000
2024-04-22,171.71327209472656,173.05376225567446,170.3444775435199,172.23247400153457,3076500
2024-04-23,171.98704528808594,174.33759173667096,168.9756885341077,172.49679801058923,5950200
2024-04-24,173.79006958007812,173.96941713353664,171.24126298708333,172.91214378811415,7616600
2024-04-25,159.45074462890625,162.79249202821572,156.38275037866285,158.7804995471282,16702200
2024-04-26,157.7704620361328,158.469011654805,156.44885559306962,158.1197368454689,8983800
2024-04-29,158.0536346435547,158.79940139614698,156.92083952005416,158.02531584578753,5242200
2024-04-30,156.89251708984375,157.42115384162,156.00515636896026,157.16628466761648,6011600
2024-05-01,155.2216339111328,156.9586017343645,155.09892392675548,156.4110809905956,4029900
2024-05-02,155.46705627441406,155.6464182260352,153.5129732068808,155.14610036323333,3829900
2024-05-03,156.42996215820312,157.27955485306532,155.6841954465997,155.75971703791842,3400400
2024-05-06,159.1675262451172,159.2241638285793,157.062414435588,157.17568960251222,4222300
2024-05-07,158.950439453125,159.80946696476855,158.53507789359395,159.53571379377092,3155300
2024-05-08,160.38528442382812,160.72512434353504,158.49728807084946,158.60112844643407,3522000
2024-05-09,158.5167236328125,159.7370352195955,158.14491017351554,159.68936384332426,4266600
2024-05-10,159.35565185546875,160.23276429845927,158.5643682414437,159.33659494598658,2255400
2024-05-13,159.7465057373047,160.22319023260448,158.98380763537375,159.68930592542972,2414900
2024-05-14,159.5558624267578,160.28996074963507,158.71689291489812,160.0325470044492,2601000
2024-05-15,160.41387939453125,160.4996936693754,159.53678156893736,160.1088088473611,4468800
2024-05-16,161.09078979492188,161.72001693837126,159.96580660991307,160.41389128352773,3492300
2024-05-17,161.14797973632812,161.2242510109112,159.52725515639807,161.09077991720537,2956400
2024-05-20,161.99649047851562,162.2253043203654,160.52830833160937,161.1193925723138,2726300
2024-05-21,165.38095092773438,166.8110046813859,162.0155589245885,162.0155589245885,6459800
2024-05-22,165.59066772460938,166.83005036240527,164.7040269697586,165.30465410861697,3294900
2024-05-23,162.71153259277344,167.27817957137833,162.49226173252168,167.21143673937178,3341300
2024-05-24,162.92123413085938,163.98900279704486,162.27295016846304,163.483718371278,2587400
2024-05-28,161.7486114501953,163.11192233489984,160.78569931053545,162.49223821408117,2629500
2024-05-29,159.26034545898438,160.76667070796768,158.4595187333764,160.1660433901311,4206600
2024-05-30,157.90655517578125,158.9552526333377,156.57182948353608,157.8398123449018,3842400
2024-05-31,159.06964111328125,159.18404075084865,156.19999079472873,157.97325791331397,4905000
2024-06-03,157.5728302001953,159.00288372782094,155.9044344179654,158.7740699263884,2776100
2024-06-04,158.07815551757812,158.6406398926407,156.23815981863288,156.92458685328097,2594200
2024-06-05,159.57492065429688,159.96579091968385,158.0495243132366,158.65015148645844,3049400
2024-06-06,160.356689453125,160.5855032880396,159.02197845093693,159.5749343082031,2207100
2024-06-07,162.08229064941406,163.3216735050594,160.22322363957568,160.33762328717825,3475500
2024-06-10,162.43505859375,162.79732901911896,161.00500470885777,161.64376036510504,3440000
2024-06-11,161.42446899414062,162.07275302355072,159.0315031539592,162.0536815676097,2951300
2024-06-12,161.119384765625,164.42757684737444,160.26135835796595,163.3598080649972,3522700
2024-06-13,161.23377990722656,161.68186455459465,160.4901531620749,161.1289087227945,3525700
2024-06-14,161.31959533691406,161.5674660713176,159.4319140036391,160.44248294416056,2777700
2024-06-17,161.5960693359375,161.8058117106557,159.6893310546875,160.8905709348619,3239800
2024-06-18,162.5971221923828,162.78779312553763,160.52831274577042,162.07276621576221,3386400
2024-06-20,165.8099822998047,166.1531958201517,163.23588817083234,165.9625248749057,4723100
2024-06-21,164.41806030273438,166.80148332694202,163.4074767207722,165.85764257234231,10181500
2024-06-24,166.84912109375,170.13825612931157,166.02922308517287,166.8395926397549,4864700
2024-06-25,164.551513671875,167.55462053974384,163.4265305611449,166.97306480263734,4069800
2024-06-26,163.85557556152344,164.62780236048457,162.4636645416644,163.29309117058398,2779000
2024-06-27,162.8831024169922,164.45615547656095,162.5303459884731,163.1405015776263,2894000
2024-06-28,164.88519287109375,165.37142045163765,162.57804125574185,162.88312636880931,4193300
2024-07-01,166.93495178222656,168.23153446868645,165.2951556038432,165.36188388288585,3321000
2024-07-02,169.03236389160156,169.21350636911578,166.19132771820819,166.68706923352536,2883300
2024-07-03,167.5355682373047,169.6806489730852,167.0016838039609,169.58532077985083,1649000
2024-07-05,167.81204223632812,167.8787705124047,165.83856110867399,167.5451000375042,2086000
2024-07-08,169.3564910888672,170.26218884980065,167.8024947571889,168.18385113623245,2503000
2024-07-09,168.2506103515625,169.41372206383755,167.392583798627,169.31839386198976,2512700
